category,tool_name,vendor,use_case_title,use_case_description,target_users,maturity,business_value_score,business_value_rationale,roi_drivers,example_companies,source_url,source_type,collected_at,last_verified,notes,first_available,target_industries,target_departments,target_company_size
Enterprise/workflow agents,Zapier Agents,Zapier,Always-on cross-app workflow automation beyond a single AI vendor's connectors,"Runs agentic automations across Zapier's 9,000+ app integrations, useful when a workflow needs to reach apps outside a single AI platform's native connector set.","Ops teams, small business owners",mainstream,3,"Straightforward extension of Zapier's existing no-code automation user base into agentic execution; $50/month for 1,500 activities keeps it accessible to smaller teams.",time saved; cost reduction,Not publicly disclosed,https://zapier.com/agents,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Cross-functional; Supply Chain/Operations,SMB (<$10M); Mid-market ($10M-$100M)
Enterprise/workflow agents,Zapier Agents,Zapier,Guardrailed automation for sensitive data workflows,"Built-in 'AI Guardrails' scan for prompt injection, PII, toxic language, and negative sentiment before an automation acts, then block or route based on what they find.",Ops and compliance-conscious teams,emerging,2,"Addresses a real trust concern with agentic automation touching sensitive data, though the guardrails' actual detection accuracy hasn't been independently benchmarked here.",risk reduction,Not publicly disclosed,https://zapier.com/agents,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2024-01-01,Cross-industry,Cross-functional; Legal/Compliance,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B)
Enterprise/workflow agents,Glean,Glean,Unified enterprise search across every connected work tool,"Searches across all of a company's connected tools (Gmail, Slack, Salesforce, Drive) from one place, respecting each user's existing access permissions.",Knowledge workers,mainstream,3,Search-first value proposition is well-established; the harder-to-verify claim is how well its 'agents and actions' layer performs once it moves from search into actually doing work.,time saved,Not publicly disclosed,https://www.glean.com,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2023-01-01,Cross-industry,Cross-functional; IT,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Glean,Glean,Building horizontal agents grounded in an 'Enterprise Graph' of company context,"Uses connectors, a search index, an 'Enterprise Graph' of relationships/processes, and an evolving enterprise memory to give agents broad organizational context rather than a single narrow data source.",AI platform teams,emerging,3,Positioned by 2026 reviewers as a key differentiator vs. narrower point-solution agents; the breadth-over-depth trade-off means it may underperform a purpose-built agent for a single specific workflow.,quality improvement; time saved,Not publicly disclosed,https://www.glean.com,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2023-01-01,Cross-industry,Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Writer Agent,Writer,Event-triggered marketing content workflows,"Monitors connected apps (Gmail, Slack, Gong) and acts on events without a human prompt, using a 'Skill' that encodes a team's specific methodology.",Marketing teams,emerging,3,"April 2026 event-trigger launch is recent; the 'Skills' reusability concept is a genuine differentiator for scaling one expert's methodology across a team, but real-world adoption data is still thin.",time saved; quality improvement,Not publicly disclosed,https://writer.com/product/writer-agent/,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Media/Marketing; Cross-industry,Marketing,Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Writer Agent,Writer,Autonomous content operations across content management systems,"Operates autonomously across folders, documents, and publishing systems (via its Adobe Experience Manager and Google Drive connectors) rather than only generating text for a human to paste elsewhere.",Marketing and content operations teams,emerging,2,"Extends Writer's established generative-writing product into actual publishing-system actions; explicitly marketed as competing with Microsoft/Salesforce/Amazon, a sign of ambition more than proven parity yet.",time saved,Not publicly disclosed,https://writer.com/product/writer-agent/,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Media/Marketing,Marketing,Mid-market ($10M-$100M); Mid-large ($100M-$1B)
Enterprise/workflow agents,UiPath Agentic Automation,UiPath,Coordinating AI agents and RPA robots in one end-to-end process,"UiPath Maestro orchestrates a mix of AI agents, traditional RPA robots, documents, and human steps within a single business process, rather than treating agentic AI as a separate initiative from existing RPA investments.",Automation/process-excellence teams,mainstream,3,Builds on UiPath's large existing RPA installed base (~$1.85B platform ARR as of 2026); value is highest for organizations with substantial prior RPA investment to extend rather than replace.,cost reduction; quality improvement,Not publicly disclosed,https://www.uipath.com,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Cross-industry,Supply Chain/Operations; IT,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,UiPath Agentic Automation,UiPath,On-premises agentic automation for regulated/public-sector workloads,"Deploys agentic automation entirely on-premises for organizations that cannot send data to a cloud AI vendor, launched May 2026 specifically for public-sector and regulated customers.",Government and regulated-industry IT teams,emerging,2,Directly addresses a real data-residency constraint that rules out most cloud-only competitors for this customer segment; too new for independent adoption evidence.,risk reduction; compliance,Not publicly disclosed,https://www.uipath.com,vendor_docs,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-01-01,Public Sector; Financial Services; Healthcare,IT; Legal/Compliance,Enterprise ($1B+)
Enterprise/workflow agents,Gemini Enterprise,Google,"Enterprise search and agent platform integrated across Workspace, Salesforce, and ServiceNow","Combines Google-quality enterprise search with agents that research, plan, and act across connected business apps through pre-built connectors, formed by renaming Agentspace in Oct 2025.",Enterprise knowledge workers and IT teams,emerging,3,"Rebrand consolidates what were previously separate Google enterprise-AI efforts (Agentspace, Vertex AI Agent Builder) into one platform as of Apr 2026 -- capability is real but the product identity itself is only months old under this name.",time saved; quality improvement,Not publicly disclosed,https://cloud.google.com/gemini-enterprise,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-10-01,Cross-industry,IT; Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Gemini Enterprise,Google,Custom agent development on the unified Gemini Enterprise Agent Platform,"Developers build custom agents on what was formerly the standalone Vertex AI Agent Builder, now consolidated into the Gemini Enterprise Agent Platform announced at Google Cloud Next 2026.",Enterprise AI engineering teams,emerging,2,"Consolidation may simplify Google's previously fragmented enterprise-AI product line, but teams that built on the old Vertex AI Agent Builder branding will need to track how much actually changes under the hood versus just naming.",quality improvement,Not publicly disclosed,https://cloud.google.com/gemini-enterprise,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-10-01,Software/Technology,IT; R&D/Engineering,Enterprise ($1B+)
Enterprise/workflow agents,Gemini Enterprise,Google,Cross-app research and action spanning Salesforce and ServiceNow data,Agents research and act across connected third-party systems (not just Google's own apps) via pre-built connectors to platforms like Salesforce and ServiceNow.,Enterprise ops and analyst teams,experimental,2,Cross-vendor connector depth is the differentiator to watch; too new to know how robust these third-party integrations are in practice.,time saved,Not publicly disclosed,https://cloud.google.com/gemini-enterprise,news_article,2026-09-06,2026-09-06,"Verified via live web research (2026-09) for current product name/status; specific use-case framing and score are general-knowledge characterization, not independently audited -- same standard as other AI-curated rows in this dataset.",2025-10-01,Cross-industry,Cross-functional,Enterprise ($1B+)
